name,urlname,description,base_difficulty,tier,show
Shield,shield,For when you like your gladiatorial combat with giant metal behemoths.,8,3,True
Spikes,spikes,"Not just for decoration, spikes can also be useful in a melee.",8,3,True
Battlemech UMU,umu,"By replacing the jumpjets with impeller turbines, mechs can be outfitted to move much more effectively underwater",8,3,True
Aquatic Survival System,mw-ass,"While bulky, the MechWarrior Aquatic Survival System protects the pilot from being drowned in the event of the head being breached while underwater.",8,3,True
Blue Shield Particle Field Damper,blueshield,"By using electromagnetic fields, the Blue Shield PFD system provides limited protection against Particle Projection Cannons.",8,3,True
Null Signature system,null-sig,"By using a combination of systems to mask a both the heat and electromagnetic signatures of a battlemech, the Null Signature system interferes with the ability of opposing sensor and targeting systems to effectively acquire it.",8,3,True
Void Signature System,void-sig,The Void Signature system combines techniques used by the Null Signature systems and Chameleon Light Polarisation System to render a mech almost invisible. The system is at its most effective when used on a still or slow moving mech.,8,3,True
Chameleon Light Polarization System,chameleon-lps,"By using a mimetic system to try to camouflage the mech with its surroundings, the Chameleon Light Polarization System makes mechs much harder to target.",9,3,True
Binary Lasers,binary-laser,"The Binary Laser Cannon functions pairs two laser weapons together into a single unit, combining some common parts to reduce weight and bulk.",8,3,True
Bombast Laser,bombast-laser,The bombast laser allows the firer to sacrifice some accuracy for more damage.,8,3,True
Experimental Missiles,exp-missiles,"Highly advanced missile technologies, not yet even out of the lab. For a more creative approach to destruction",8,3,True
Mech Sprayer,sprayers,"While most often used to spray water or foam to fight fires, other fluids can also be delivered using this handy delivery system.",8,3,True
Enhanced Flamers,enh-flamer,Various improvements have been devised that significantly improve upon the basic flamer,8,3,True
Laser Insulators,insulators,"For a little added space and weight, laser weapons can be insulated to reduce the heat they impart on the rest of the mech. However, this does come with the risk of damaging the weapon.",8,3,True
Chaff Pods,chaff,Chaff pods provide a useful tool for throwing off the guidance systems on some guided missiles.,8,3,True
C3 Remote Sensors,c3-remote,Remote sensor packs can be launched from mechs to provide an additional source of targeting data for a C3 network.,8,3,True
Vibroblades,vibroblades,"By rapidly vibrating the edge at a high frequency, vibroblades become remarkably effective cutting weapons.",99,3,False
Clan Technologies,clan,Not generally available,99,3,False
Hardened Armour,hardened-armour,"Hardened armour is considerably more resilient to damage, but the additional weight of the armour materials impairs the movements of the mech.",99,3,False
Drone OS,drone,Remote control system for mechs.,99,3,False
Unallocated Items,unallocated,Odds and ends that haven't had their own tech set up for them yet.,99,3,False
