group,action,base_cost,base_cost_max,description,max_per_week
Purchase,Buy Carried Weapon,1,,"Based on a created weapon design, buy it. Pay for as per cost.",1
Recruitment,Welcome a Shooting Star,1,,"Hire a new Star from another league to boost up your stable. Roll on the hire pilot table as a Star and pay $10,000,000 C-bills plus half of value of signature mech if they have one. You must have an opening for a new star.",1
Security,Guard Duty,1,,Select a pilot of your stable. He and his signature mechs cannot be targeted by hostile security actions this week.,1
Security,Extended Guard Duty,1,,Select a pilot of your stable. He and his signature mechs cannot be targeted by hostile security actions this week.,1
Security,Expo Display mech,1,,Allocate the signature mech of a pilot to a public display. May not be used for the broadcast week but the pilot gains 12 points to Pop for fame roll at start of next broadcast week.,1
Sponsorship,Sponsorship Stable,2,,"Name a major industrial corporation and plug it during each match. Gain 500,000 CBills and 2 pop each league and network match this week and an extra 500,000 on each victory. ",1
Sponsorship,Sponsored Tour,1,,"Place a pilot from your stable into doing a touring date, attending events and giving talks for the week instead of piloting this week. For each fame of the pilot he earns 1,000,000 C-Bills for the week. Half for Contenders and Rookies who don't hold titles.",1
Before Fight,Delay fight,1,,Delay fight to Twilight or Night combat,1
Before Fight,Medical Attention,1,,Heal 1 pilot 1 wound point or black mark,1
Before Fight,Bio-Enhancement Drug – Konnect,1,,Give a pilot a dose of bioenhancement drug Konnect for the fight. Roll 1 cheat at end of fight without heel mod.,1
Before Fight,Bio-Enhancement Drug – KrayZee,1,,Give a pilot a dose of bioenhancement drug KrayZee for the fight. Roll 1 cheat at end of fight without heel mod.,1
Before Fight,Bio-Enhancement Drug - LD-512,1,,Give a pilot a dose of bioenhancement drug LD-512 for the fight. Roll 1 cheat at end of fight without heel mod.,1
Before Fight,Bio-Enhancement Drug - Quikstim,1,,Give a pilot a dose of bioenhancement drug Quikstim for the fight. Roll 1 cheat at end of fight without heel mod.,1
Before Fight,Bio-Enhancement Drug - Rage,1,,Give a pilot a dose of bioenhancement drug Rage for the fight. Roll 1 cheat at end of fight without heel mod.,1
Before Fight,Omnimech Pod tweak,1,,Modify two locations of pods on a currently owned config of an omnimech.,1
Before Fight,Tweak a mech,1,,Modify one location on a mech.,1
Before Fight,Do not miss this fight,1,,All pilots in nominated fight get +2 pop and add one fame each to fight purse.,1
Before Fight,Focal duel,1,,Designate one opponent mech during the fight. Gain fame automatically if you are in on the kill of that mech. Gain two fame if you face 4 or more enemy mechs total.,1
Before Fight,Rile Crowd,1,,Rile the crowd into an angry state.,1
Before Fight,Wish on a falling star,2,,"Play on a rival stable’s star this week dropped to contender. If that pilot loses this fight he quits the stable and goes to auction unless clan. If your stable wins, will join your stable.",1
Before Fight,Buy a junker,1,,Determine a weight by rolling within point value and pick two junker sheets at random. Buy one of your choice.,1
Before Fight,Kickback to the Junker,1,,"When picking a random mech, pick from a choice of two",1
Before Fight,Recruit off world talent,1,,"Roll on the random pilot table as a rookie for a new talent from off Solaris joining the fight. After the fight, choose to release the pilot or add them to the stable. If released send to Auction pool for next week. If kept add to stable and pay $2,000,000 C-bills plus half any signature mech.",1
Before Fight,Recruit experienced talent,1,,"Roll on the random pilot table as a contender for a new talent from Solaris joining the fight. After the fight, choose to release the pilot or add them to the stable. If released send to Auction pool for next week. If kept add to stable and pay $5,000,000 C-bills plus half any signature mech.",1
Before Fight,Sponsor for this Fight,1,,"Name a major industrial corp and associate it with a non Rookie in this fight. Gain 500,000 C-Bills and 2 pop to your pilot. Bonus of +4 Pop on a victory. Not available to Sim and Underground",1
After Fight,Call for review,1,,Call for review of black tech used in this fight. Must have good reason why to negotiate balance.,1
After Fight,Civil damages,1,,"Assist an arena to sue another stable who had a pilot in this fight cause dramatic damage to the arena. Roll 1d6 + the number of buildings destroyed or hexes set on fire against a target of 7. If successful, the stable loses 200,000 C-Bills each class of tree or building (Ie a heavy building is 600k, heavy woods are 400k) and you collect half.",1
After Fight,Pilot Intervention,1,,"The lawyers sit down to discuss the ramifications of a pilot and his derangement - Adrenaline Junkie, Bully, Criminal, Family, Gambler, Sexual Deviant, or Tinkerer, Roll 2d6 on the Therapy recovery table.",1
After Fight,Random my ass' drug test,1,,Force a reroll on the cheat roll on a rival for using a bioenhancement drug.,1
After Fight,Stable Property,1,,"After a pilot with a signature mech dies in a fight, spend this point and pay to keep ownership of the Mech to the stable. Roll 1d6 and add 1 per 250,000 C-Bills spent. On a 6 or higher, pay half the value of the Mech and keep it. Omnimechs with shared owner gain +3 on roll.",1
After Fight,Staff of Defence,1,,"Send the lawyers in after the fight to try pre-emptively protect the stable from being sued for cheating or civil damages. Subtract 2 from legal roll, however opponent legal actions can be cancelled and point refunded.",1
After Fight,Sue the cheat,1,,"If an opponent in a fight or action used a cheat and got caught, you can sue him with this action. Roll 1d6-3. For multiply the positive number by 50% and claim that amount of the Purse or the most expensive lost Mech or Prize, in C-Bills. May also be used against Auction cheating by exceeding salary cap.",1
After Fight,Unsolicited legal advice,1,,"Pick an enemy pilot in this fight with one of the derangements Bully, Criminal, Drama Queen, Family, Gambler, Religious Zealot, Tinkerer, or User of illegal performance enhancers. End any current deferment, or add +1 to next weeks roll or special rules.",1
After Fight,Medical Counselling,1,,"Select a pilot with Ego, Combat Phobias, Drug Addiction, PTSD, Sexual Deviant or User of Illegal Performance Enhancers. Roll on Therapy chart after fight.",1
After Fight,Brain in a jar,2,,"A pilot who died in this fight who has the DNI or EI equipment benefit may be salvaged enough to survive by having their brain put in a jar. The doctor you found is sure he can do it, their brain has the feeds already in em to keep stimulation going. Brain in a jar pilots lose all fame and secondary abilities but may be equipped into Inner Sphere protomechs, be the drone pilots of vehicles without incurring the penalty to hit and piloting, and rumours tell of black tech full and buddy cockpits in development.",1
After Fight,It belongs in a museum,1,,"Play in a fight where a Star or Champion dies, to add their mech to your stable museum.",1
After Fight,Publicity Spotlight,1,,"Pick a pilot in this fight with one of the derangements Adrenaline Junkie, Bully, Criminal, Drama Queen, Drug Addiction, Family Problems, PTSD, Religious Zealot, Sexial Deviant, Tinkerer or User of Illegal Performance Enhancers. Check specific rules for how this applies both for friendly or enemy pilots. Unless otherwise detailed, End any current deferments or add +2 to next weeks roll for enemies and roll on therapy for your pilots. .",1
After Fight,Re-Brand,1,,"Rename pilot in this fight to new name. -10 pop on fight. If not of your stable, full pop and only changes name if gains fame of x. x = 3 + number of stables who add to this action to support justification of name change (Base 4).",1
After Fight,This means war,1,,"Play after a pilot dies in battle. Pick one of the killer’s stables and declare war, gaining + 5 pop on victories against them till the end of the following week.",1
After Fight,Replace the lost,1,,"Spend after a fight to order a replacement mech of one just cored. If a lost signature mech, returns to being a signature mech",1
After Fight,Pilot security,1,,"Security protects a pilot from themselves, specifically Bully, Criminal, Drug Addict, Drama Queen, Family Problems, Gambler, Religious Zealots, Tinkerer or User of Illegal Performance enhancers. Check specific derangement rules otherwise roll on therapy table.",1
After Fight,Sabotage Unattended Mech,2,,Send your security agents to sabotage a signature mech not being fielded by a pilot in this fight. Select one random location and roll for crit at the start of the next fight. Reroll Disabling crit.,1
After Fight,Security Interference,1,,"Pick an enemy pilot in this fight with one of the derangements Adrenaline Junkie, Drug Addiction, criminal, or Gambler. End any current deferments or add +2 to next weeks roll or special rules.",1
End of Week,Looking for Strange,1,,Restock an event card to draw another.,1
End of Week,Looking for Honour,1,,Restock a cheat card and gain one face.,1
